title,plot,genre
superman,"The infant Kal-El, of the planet Krypton, makes his journey to Earth in a ship constructed by his father, Jor-El, just as the planet explodes. Crashing down in the midwest United States, the boy is adopted by farmers Jonathan and Martha Kent. After Jonathan's death several years later, Kal-El - now known as Clark Kent - learns of his true identity from the ghost of Jor-El. He has great powers - he can fly, outrun a train, and lift up a 1-ton truck. But it isn't until he gains a job at...",action
the deer hunter,"Michael (Robert De Niro), Nick (Christopher Walken), and Steven (John Savage) are three buddies from the steel mill town of Clairton,Penn.They are like schoolmates, hanging out in a local bar and enjoying weekends of deer-hunting. Michael and Nick are also both in love with Linda (Mryl Streep), who seems to juggle both of the men. But their placid life is soon to be changed after they are enlisted in the airborne infantry of Vietnam. So they all celebrate a goodbye at Steven's wedding and they...",drama
animal house,"Unable to gain acceptance at the snootier fraternities they pledge, the Deltas, a a motley crew of misfits and sociopaths bent on disrupting the well-starched status quo, engage in various illegalities that land them in hot water with both the stern college dean and the neighboring jock fraternity. Their exploits eventually cause them to be placed on double-secret probation, until finally, they are kicked out of school and, as the dean reminds them, newly eligible for the Vietnam draft.",comedy
i spit on your grave,"An aspiring writer is repeatedly gang-raped, humiliated, and left for dead by four men whom she systematically hunts down to seek revenge.",horror
halloween,"HALLOWEEN takes us into the world of a mad killer, Michael Myers, who at a very young age stabbed his older sister to death. Locked away for many years in a mental hospital Michael escapes one night and returns to his home to continue his killing spree. Jamie Lee Curtis, in her first role, plays the resourceful babysitter who is chased by the killer on Halloween night.",horror
up in smoke,"Two directionless musicans, a Chicano guitarist (Cheech Marin) and a White drummer (Tommy Chong), meet up in a chance encounter and embark on a series of odd adventures, including being the unwitting partcipants of a bizarre marijuana smuggling plot.",comedy
pretty baby,"1917, the last months of legal prostitution in Storyville - New Orleans' red-light district. Hattie, a prostitute at the elegant home of Madame Nell, and her 12-year-old daughter Violet are the only ones awake with photographer Ernest J. Bellocq comes by with his camera. He takes pictures of Hattie and he fascinates Violet. Over the next few months, Nell arranges for the auction of Violet's virginity, Hattie marries and goes to St. Louis leaving Violet behind, and Violet determines to marry...",drama
dawn of the dead,"Picking up where NIGHT OF THE LIVING DEAD left off, and still offering no explanation of why the dead are walking the earth, DAWN plunges headlong into one of the most violent and original horror films ever made. After securing an apartment building overcome with flesh-eating zombies, two Philadelphia area SWAT team members, Peter (Ken Foree) and Roger (Scott Reiniger), flee to a television station, where they escape in the station�s helicopter with Francine (Gaylen Ross) and Stephen...",horror
invasion of the body snatchers,"The first remake of the paranoid infiltration classic moves the setting for the invasion from a small town to the city of San Fransisco and starts as Matthew Bennell notices that several of his friends are complaining that their close relatives are in some way different. When questioned later they themselves seem changed as they deny everything or make lame excuses. As the invaders increase in number they become more open and Bennell, who has by now witnessed an attempted ""replacement"" realises...",horror
jaws 2,"Four years after the events of the original ""Jaws"", the town of Amity suddenly experiences series of mysterious boating accidents and disappearances. Chief of Police, Martin Brody, fears that another shark is out there, but he is ignored by the townsfolk. Unfortunately, he's right. There is another Great White in the sea. And it wants revenge.",horror
days of heaven,"In 1910, a Chicago steel worker accidentally kills his supervisor and flees to the Texas panhandle with his girlfriend and little sister to work harvesting wheat in the fields of a stoic farmer. A love triangle, a swarm of locusts, a hellish fire—Malick captures it all with dreamlike authenticity, creating at once a timeless American idyll and a gritty evocation of turn-of-the-century labor.",drama
watership down,"When the warren belonging to a community of rabbits is threatened, a brave group led by Fiver, Bigwig, Blackberry and Hazel leave their homeland in a search of a safe new haven.",animation
the lord of the rings,"An animated fantasy film from 1978 based on the first half of J.R.R Tolkien’s Lord of the Rings novel. The film was mainly filmed using rotoscoping, meaning it was filmed in live action sequences with real actors and then each frame was individually animated.",animation
starcrash,"A pair of smugglers manage to pick up a castaway while running from the authorities, who turns out to be the only survivor from a secret mission to destroy a mysterious superweapon designed by the evil Count Zartham. The smugglers are soon recruited by the Emperor to complete the mission, as well as to rescue the Emperor's son, who has gone missing.",action
every which way but loose,"Phil Beddoe is an easy-going trucker and a great fist-fighter. With two friends - Orville, who promotes prize-fights for him, and Clyde, the orang-utan he won on a bet - he roams the San Fernando Valley in search of cold beer, country music and the occasional punch-up. But he is floored himself by a dainty little country and western singer, who gives him the slip when she realises he's getting too serious. Phil, Clyde and Orville set off in pursuit, pestered by bikers.",action
the driver,The Driver specializes in driving getaway cars for robberies. His exceptional talent has prevented him from being caught yet. After another successful flight from the police a self-assured detective makes it his primary goal to catch the Driver. He promises pardons to a gang if they help to convict him in a set-up robbery. The Driver seeks help from The Player to mislead the detective.,action
game of death,"Bruce Lee plays Billy Lo, a HongKong based movie actor, who is a box office draw. His girlfriend, Ann Morris is a singer who is also climbing to the top. Now it seems the syndicate wants Billy and Ann to join their ""management firm"". But Billy knows that they will be treated like property, so he refuses and tells her to do the same. So they try to ""encourage"" him to join but he still refuses. He would be advised that they will not stop, so he must stop them, permanently. He is even more...",action
the wiz,"A Thanksgiving dinner brings a host of family together in a Harlem apartment, where a 24-year-old schoolteacher named Dorothy Gale (Diana Ross) lives with her Aunt Em (Theresa Merritt) and Uncle Henry (Stanley Greene). Extremely introverted, she has, as Aunt Em teases her, ""never been south of 125th Street"", and refuses to move out and on with her life.",adventure
convoy,"Truckers form a mile long ""convoy"" in support of a trucker's vendetta with an abusive sheriff...Based on the country song of same title by C.W. McCall.",action
the fury,"A government agent is determined to come to his son's rescue, when a sinister official kidnaps him to harness his extremely powerful psychic abilities.",drama
corvette summer,"Ken loves to design and build exotic cars. When the High School shop class project car, a fully tricked out dream Corvette, is stolen, he begins searching for it. His search leads him to Las Vegas, where Vanessa, a teenaged prostitute wannabe, helps him try to track it down.",adventure
quel maledetto treno blindato,"Set in Europe during WWII, a group of American soldiers on their way to military prison are beset upon by a German artillery attack, escaping with Switzerland in their sights. Before making it any farther, they volunteer to steal a V2 warhead for the French Underground - taking them deep into the heart of German territory.",action
