title,plot,genre
it's a wonderful life,An angel helps a compassionate but despairingly frustrated businessman by showing him what life would have been like if he never existed.,drama
song of the south,"Uncle Remus draws upon his tales of Brer Rabbit to help little Johnny deal his confusion over his parents' separation as well as his new life on the plantation. The tales: The Briar Patch, The Tar Baby and Brer Rabbit's Laughing place.",animation
notorious,"Post-WWII story of a beautiful playgirl sent by the US government to marry a suspected spy living in Brazil. Grant is the agent assigned to watch her. Duplicity and guilt are important factors in this brooding, romantic spy thriller. Suspenseful throughout, with a surprise ending.",drama
the best years of our lives,The Best Years of Our Lives is a classic film from director Williams Wyler about three war veterans. The film earned seven Oscars in 1946.,drama
gilda,"Just arrived in Argentina, small-time crooked gambler Johnny Farrell is saved from a gunman by sinister Ballin Mundson, who later makes Johnny his right-hand man. But their friendship based on mutual lack of scruples is strained when Mundson returns from a trip with a wife: whom Johnny once knew and learned to hate.",drama
my darling clementine,"""My Darling Clementine"" is John Ford's retelling of the famous shoot out at the OK Corral that arose from the the Earp Clanton feud.",drama
a matter of life and death,"When a young airman miraculously survives bailing out of his aeroplane without a parachute, he falls in love with an American radio operator. But the officials in the other world realise their mistake, and despatch an angel to collect him.",drama
the razor's edge,"A adventuresome young man goes off to find himself and loses his socialite fiancée in the process. But when he returns 10 years later, she will stop at nothing to get him back, even though she is already married.",drama
a letter for evie," Evie's co-workers at the uniform shirt factory, and her almost-fiancée's inability to kiss, inspire her to slip a letter into a size sixteen-and-a-half shirt for some anonymous soldier. It's received by ""Wolf"" Larson, who immediately throws it away, but his sensitive, dreaming--and short--buddy John McPherson snags it, and begins a correspondence with Evie, pretending to be Wolf. But things get complicated when Evie wants to meet her tall, handsome soldier. And...",comedy
a night in casablanca,"The Marx Brothers are employed at a hotel in postwar Casablanca, where a ring of Nazis is trying to recover a cache of stolen treasure.",comedy
a stolen life," Kate Bosworth and her twin sister Patricia fall in love with Nantucket lighthouse inspector Bill Emerson. Patricia and Bill are married. To forget, Kate returns to painting. Bill goes to Chile; Kate and Patricia go sailing; Patricia is washed overboard and drowned. Kate's boat capsizes and, when she recovers consciousness ashore, she (believed to be Patricia) is told that Bill is returning from Chile. Written by Ed Stephan <[email protected]> ",drama
abilene town,"Marshall Dan Mitchell (Randolph Scott), who is the law in Abilene, has the job of keeping peace between two groups. For a long time, the town had been divided, with the cattlemen and cowboys having one end of town to themselves, while townspeople occupied the other end. Mitchell liked it this way, it made things easier for him, and kept problems from arising between the two factions. However…",romance
angel on my shoulder,"Gangster E. Kagle is killed by his partner and trusted friend, S. Williams. Kagle ends up in Hell, where ""Nick"" offers him an opportunity for revenge in exchange for help with a problem. Nick arranges to have Kagle take over Parker's body…Along the way, Kagle becomes acquainted with Barbara Foster, the judge's fiancée. He falls in love with her, causing him to question his whole outlook on life…",comedy
badman's territory," After some gun play with a posse, the James Gang head for Quinto in a section of land which is not a part of America. Anyone there is beyond the law so the town is populated with outlaws. Next to arrive is Sheriff Rowley, following his brother whom the Gang have brought in injured. Rowley has no authority and gets on well enough with the James boys but is soon involved in other local goings-on, including a move to vote for annexation with Oklahoma which would allow the law well and truly in. ...",action
bedlam,"Nell Bowen, the spirited protege of rich Lord Mortimer, becomes interested in the conditions of notorious St. Mary's of Bethlehem Asylum (Bedlam). Nell attempts to bring support to reforming Bedlam, but the cruel Master Sims who runs it has her committed there instead.",drama
black beauty," Widower Squire Weldon (Charles Evans). trying to raise his motherless daughter, Anne (Mona Freeman) presents her with a colt, Black Beauty (Highland Dale), in the hope that by disciplining the horse, she may learn to discipline herself. Passing through Birtwick Farms, Bill Dixon (Richard Denning, a young American, arouses Anne's interest when he expresses his hope of finding a ""Very beautiful young colt"" when he returns to England in two years. When he returns, however, his...",drama
blonde alibi,"Soon after a young woman breaks off her engagement to a doctor, the doctor is found murdered. Suspicion falls on his ex-fiancé and a pilot with a checkered past.",comedy
bowery bombshell,"Slip (Leo Gorcey), Sach (Huntz Hall), Bobby (Bobby Jordan), Whitey (William Benedict) and Chuck (David Gorcey) unsuccessfully try to sell a dilapidated car to a street cleaner for a fabulous amount, so they can get enough money to save Louie's (Bernard Gorcey) Malt Shop. Sidewalk photographer Cathy Smith (Teala Loring) snaps a pictures of three bank robbers as they are fleeing a robbery but when the Bowery Boys and Cathy realize that Sach is also in the photograph, they break into the photo lab...",comedy
canyon passage," In 1856, backwoods businessman Logan Stuart escorts Lucy Overmire, his friend's fiancée, back home to remote Jacksonville, Oregon; in the course of the hard journey, Lucy is attracted to Logan, whose heart seems to belong to another. Once arrived in Jacksonville, a welter of subplots involve villains, fair ladies, romantic triangles, gambling fever, murder, a cabin-raising, and vigilantism...culminating with an Indian uprising that threatens all the settlers. No canyon in sight. ...",action
cloak and dagger,"In this Fritz Lang's compelling World War II espionage thriller, Gary Cooper stars as Alvah Jasper, a shy and retiring physics professor at a midwestern university. When government agents press Jasper into joining them in an effort to curtail the Nazis' efforts to attain atomic secrets, his life takes a dramatic turn.",romance
colonel effingham's raid," The story takes place in 1940. On the eve of America's entry in World War II, a colonel retired to his small Southern town, and discovers that there is a plan afoot to tear down Confederate Monument Square. He begins a campaign to rally the townspeople to save the square. Written by [email protected] ",comedy
courage of lassie," Bill's separated from his litter, making friends with the wild creatures until he's found and adopted by young Kathie. An accident separates him from her, and he's drafted into K-9 duty in the trenches until battle fatigue takes its toll and he turns vicious. And even though he finds his way back home, he may be condemned as a killer. Written by Kathy Li ",drama
dangerous money," A treasury agent traveling aboard a ocean liner confides to fellow passenger Charlie Chan that he's on the trail of a counterfeiting ring operating from the South Pacific and has survived two recent attempts on his life. Chan helps him avoid a third but is helpless to prevent a knife thrown in his back in the ship's club room. Although the ship will be docking shortly in Samoa, Charlie is confident that he will unmask the killer before then. Among the suspects are an elitist reverend...",comedy
detour to danger,Two young men set out on a fishing trip. They run into a gang of criminals who are menacing two young women.  - Written byAnonymous ,thriller
devil monster,"A schooner disappears at sea without a trace. Years later, evidence of possible survivors prompts the mother of the schooner's mate Jose to hire a tuna boat to investigate. They discover the lad living happily on a South Seas island, and, when he refuses to leave with them, they abduct him. However, Jose gets revenge by leading the ship into the lair of a mysterious giant manta ray.",adventure
dick tracy vs. cueball,"A crime thriller based on the comic strip. Dick Tracy is up against an ex-con Cueball, who is stealing gems and murdering people.",action
dragonwyck,"A simple Connecticuit farm girl is recruited by a distant relative, an aristocratic patroon, to be governess to his young daughter in his Hudson Valley mansion.",drama
duel in the sun,"Beautiful half-breed Pearl Chavez becomes the ward of her dead father's first love and finds herself torn between her sons, one good and the other bad.",drama
easy to wed," The ""Morning Star"" is in trouble: J.B. Allenbury, rich and mighty, will sue them for 2 million dollars for an article which says that his daughter is chasing after married men. Reporter Bill Chandler is sent after Connie to prove that the story is actually true. The only problem is that he's not married....yet. Written by Tom Zoerner <[email protected]> ",comedy
gallant bess,"Marshall Thompson stars in this MGM drama about a young soldier's devotion to a horse he rescues during WWII. (Not to be confused with ""Adventures of Gallant Bess"", another film released two years later.)",drama
heartbeat," A young female escapee from a reform school joins a pickpocket academy in Paris. She is caught red-handed on her first attempt at stealing by an upper class man. He recruits her to do him a favor at a society party where she meets and falls in love with a young, handsome, rich diplomat. Whether or not she can land him is another story. Written by Gary Jackson <[email protected]> ",drama
