title,plot,genre
breakfast at tiffany's,"Fortune hunter Holly Golightly finds herself captivated by aspiring writer Paul Varjak, who's moved into her building on a wealthy woman's dime. As romance blooms between Paul and Holly, Doc Golightly shows up on the scene, revealing Holly's past.",comedy
the guns of navarone,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",action
judgement at nuremberg,Judgment at Nuremberg is an American film based on the trials of 4 Nazi judges in Nuremberg Germany in 1948 by an American court.,drama
101 dalmatians,"When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement.",animation
the parent trap,"Susan and Sharon are identical twins separated at birth. Neither knows the other exists until a simple twist of fate finds them at the same summer camp. Then, realizing who they are, they switch places in hopes of getting their parents back together.",comedy
the hustler,"An arrogant and amoral hustler haunts pool rooms to get a crack at bringing down Minnesota Fats. When he starts to have real feelings for a woman, he's faced with a dilemma.",drama
yojimbo,"In director Akira Kurosawa's comedic YOJIMBO, a masterless samurai, Sanjuro (Toshir� Mifune), wanders into a town divided by two warring clans. After displaying his formidable swordsmanship before both clans in a brawl with street thugs, Sanjuro offers his services to the highest bidder. When one clan conspires against him, the clever warrior switches his allegiance to the other side, with the ultimate goal of tricking the two equally despicable and foolish clans into exterminating each...",action
splendor in the grass,A fragile Kansas girl's unrequited and forbidden love for a handsome young man from the town's most powerful family drives her to heartbreak and madness.,drama
mysterious island,"During the US Civil War, Union POWs escape in a balloon and end up stranded on a South Pacific island, inhabited by giant plants and animals. They must use their ingenuity to survive the dangers, and to devise a way to return home. Sequel to '20,000 Leagues Under the Sea' .",adventure
reptilicus,"A portion of the tail of a prehistoric reptile is discovered in Denmark. It regenerates into the entire reptile, which proceeds to destroy buildings and property and generally make a nuisance of itself. It can fly, swim, and walk, and has impenetrable scales, which makes it difficult to kill.  - Written byPaul White <[email protected]> ",horror
voyage to the bottom of the sea,"Admiral Nelson takes a brand new atomic submarine through its paces. When the Van Allen radiation belt catches fire, the admiral must find a way to beat the heat or watch the world go up in smoke.",adventure
el cid,"Epic film of the legendary Spanish hero, Rodrigo Diaz (""El Cid"" to his followers), who, without compromising his strict sense of honour, still succeeds in taking the initiative and driving the Moors from Spain.",adventure
blue hawaii,"Chad Gates has just gotten out of the Army, and is happy to be back in Hawaii with his surf-board, his beach buddies, and his girlfriend.",comedy
såsom i en spegel,"While vacationing on a remote island retreat, a family’s already fragile ties are tested when daughter Karin (Harriet Andersson) discovers her father has been using her schizophrenia for his own literary means. As she drifts in and out of lucidity, the father (Gunnar Björnstrand), along with Karin’s husband (Max von Sydow) and her younger brother (Lars Passgård) are unable to prevent Karin’s harrowing descent into the abyss of mental illness.",drama
la notte,"In Milan, after visiting dear friend Tommaso Garani that is terminal in a hospital, the writer Giovanni Pontano goes to a party for the release of his last book, and his wife Lydia Pontano visits the place where she lived many years ago. In the night, they go to a night-club, and later to a party in the mansion of the tycoon Mr. Gherardini. Along the night, Giovanni flirts with Valentina Gherardini, the daughter of the host, and then he receives a proposal to work for him in the area of...",drama
the comancheros,"Texas Ranger Jake Cutter arrests gambler Paul Regret, but soon finds himself teamed with his prisoner in an undercover effort to defeat a band of renegade arms merchants and thieves known as Comancheros.",action
the end of summer,"The Kohayakawa family is thrown into distress when childlike father Manbei takes up with his old mistress, in one of Ozu’s most deftly modulated blendings of comedy and tragedy.",drama
"one, two, three","One, Two, Three – A scorching business comedy that plays during the Cold War in Berlin, Germany. With it’s political satire director Billy Wilder depicts the fight between capitalism and communism with panic, scrutiny and surprises, filmed during the building of the Berlin Wall.",comedy
barabba,"Epic account of the thief Barabbas, who was spared crucifixion when Pilate manipulated the crowd into to pardoning him, rather than Jesus. Struggling with his spirituality, Barabbas goes through many ordeals leading him to the gladiatorial arena, where he tries to win his freedom and confront his inner demons, ultimately becoming a follower of the man who was crucified in his place.",adventure
the colossus of rhodes,"A Greek military hero named Darios visits his uncle in Rhodes in the year 280 BC. Rhodes has just finished constructing an enormous colossus of Apollo to guard its harbor and is planning an alliance with Phoenicia which would be hostile to Greece. Darios flirts with the beautiful Diala, daughter of the statue's mastermind, while becoming involved with a group of rebels headed by Peliocles. These rebels seek to overthrow the tyrannical King Serse as does Serse's evil...",fantasy
a cold wind in august,An older woman seduces an impressionable working-class boy who falls deeply in love with her. Disillusionment sets in when the boy discovers that she is a stripper and prostitute.,drama
