title,plot,genre
the big lebowski,"Jeff Lebowski (Jeff Bridges) is the victim of mistaken identity. Two thugs break into his apartment in the errant belief that they are accosting Jeff Lebowski, the Pasadena millionaire--not the laid-back, unemployed, `stuck in the 70s' Jeff Lebowski who calls himself the Dude. The Dude's first mistake is paying a visit to his wealthy namesake in the hopes of getting a replacement for his soiled carpet. But instead of a Persian loaner, our reluctant hero and his buddy Walter (John...",comedy
saving private ryan,"Following the Allied invasion of Normandy, two brothers lay dead in the wake of the onslaught. Meanwhile, in New Guinea, a third brother has been killed fighting the Japanese. After the Army General Staff learns that a fourth brother is missing in the French countryside, a rescue mission is ordered to find the young soldier and return him safely home. The mission is mounted by a veteran Ranger Captain commanding a platoon of men who have mixed feelings about risking their lives to ""Save Private...",action
there's something about mary,"Having never fully recovered from a prom date,a man finally gets a chance to reunite with his old prom date, only to run up against other suitors including the detective he hired to find her.",comedy
the parent trap,"Hallie (Lindsay Lohan) is growing up in Napa Valley with her vineyard-owner father, Nick Parker (Dennis Quaid). Annie (also Lindsay Lohan) is raised in fashionable London by her mother, Elizabeth James (Natasha Richardson), a renowned wedding gown designer. Unaware of each other's existence, fate intervenes when the girls coincidentally meet at summer camp in Maine. Eager to meet their respective parents, the girls devise a scheme to switch places and ultimately, reunite their mom and dad....",adventure
the truman show,"Truman's life is entirely make-believe. He was adopted by a media corporation when he was a baby and, since then, his entire life has been a set-up for the most popular television show of all time.While Truman thinks that he is an ordinary man with an ordinary life, he has no idea that everything around him is the set of a television show and that he has no idea about the world outside.",drama
meet joe black,"The charmed life and orderly household of media tycoon William Parrish (Anthony Hopkins) are suddenly disrupted by the arrival of enigmantic young Joe Black (Brad Pitt) who falls in love with Parrish's beautiful daughter Susan (Claire Forlani).For Parrish, Susan and the rest of the family, the consequences of this romance are profound, complicated and bittersweet, for Joe Black is actually the personification of Death -- come to call on Parish.",drama
blade,"When Blade's mother was bitten by a vampire during pregnancy, she did not know that she gave her son a special gift while dying: All the good vampire attributes in combination with the best human skills. Blade grew up to be a vampire hunter for revenge on his mother's death. The vampires, who managed to infiltrate nearly every major organization, need Blade's very special blood to summon La Magra, the blood god, in order to reign over the human cattle, as they call us.",action
armageddon,"An asteroid the size of Texas is heading directly toward Earth at 22,000 mph. NASA's executive director, Dan Truman, has only one option - to send up a crew to destroy the asteroid. He enlists the help of Harry S. Stamper (BRUCE WILLIS) - the world's foremost deep core oil driller - and Stamper's roughneck team of drillers to land on the asteroid, drill into its surface, and drop a nuclear device into the core. On this heroic journey, they face the most physically and emotionally challenging...",action
the thin red line,"A group of men, an Army Rifle company called C-for-Charlie, change, suffer and ultimately make essential discoveries about themselves during the fierce World War II battle of Guadalcanal.",drama
half baked,"Politically incorrect at every turn, Half Baked has all the ingredients of classic, toked-out cinema: bad language, smoking and inhaling controlled substances, tasteless humor, dimwitted young men, gratuitous nudity, celebrity cameos and questionable methods of raising large sums of cash quickly. It's a recipe that will appeal to audiences beyond the short-term memory impaired.",comedy
godzilla,"A devastating, blinding flash of white light fills the Eastern sky. Thousands of miles away, the Pacific Ocean churns, engulfing a freighter with wicked speed. Ships off both U.S. coasts capsize and are dragged into an inexplicably roiling sea. On another part of the globe, giant footprints plow an ominous path through miles of Panamanian forests, Tahitian villages and Jamaican beaches. What is the source of all this mysterious, far-flung mayhem? Godzilla, the undisputed king of movie monsters,...",action
