title,plot,genre
mary poppins,"Two banker's children lose their nanny due to her frustration with them. A change in the wind blows in an assertive nanny who matches the qualifications of the children and not the father. As she helps them magically explore the world around them the father grows increasingly disapproving of her methods, and must eventually deal with his own distance from his children.",comedy
dr. strangelove or: how i learned to stop worrying and love the bomb,An insane general starts a process to nuclear holocaust that a war room of politicians and generals frantically try to stop. A classic black and white war satire from director Stanley Kubrick starring Peter Sellers.,comedy
goldfinger,"The Bank of England has discovered that someone is stockpiling vast quantities of gold and suspects international bullion dealer Auric Goldfinger of being involved. The Bank requests that British agent James Bond be sent to investigate. Bond soon uncovers an audacious plan to commit ""the crime of the century"" and bring economic chaos to the West.",action
my fair lady,"Henry Higgins is a Professor of languages and a rather snobbish and arrogant man. A visiting colleague, Colonel Pickering, makes him a bet that he can't take a ""commoner"" and turn her into someone who would not be completely out of place in the social circles of upper-class English society.",drama
zulu,"In 1879, during the Zulu wars, man of the people Lt. John Chard (Stanley Baker) and snooty Lt Gonville Bromhead (Michael Caine) are in charge of defending the isolated Natal outpost of Rorke's Drift from tribal hordes, holding out during an Alamo-like seige until they are overwhelmed, losing the battle, but going down in history as heroes. 150 soldiers defended a supply station against some 4000 Zulus, aided by the Martini-Henry rifle 'with some guts behind it. ""At Rorke's Drift, eleven...",drama
marnie,Marnie is a beautiful kleptomaniac who’s in love with the business man Mark Rutland. Marnie who is a compulsive thief is being watched by her new boss Mark who suspects her of stealing from him and thus decides to blackmail her in the most unusual way. A psychological thriller from Alfred Hitchcock based on a novel of the same name by Winston Graham.,drama
what a way to go!,"This black comedy opens with Louisa Foster donating a multimillion dollar check to the IRS. The tax department thinks she's crazy and sends her to a psychiatrist. She then discusses her four marriages, in which all of her husbands became incredibly rich and died prematurely because of their drive to be rich.",comedy
a hard day's night,"The year is 1964 and four young lads from Liverpool are about to change the world - if only the madcap world will let them out of their hotel room. Richard Lester's boldly contemporary rock n' roll comedy unleashes the fledgling Beatles into a maelstrom of screaming fans, paranoid producers, rabid press and troublesome family members, and reveals the secret of their survival and success: an insatiable lust for mischief and a life-affirming addiction to joy.",comedy
the fall of the roman empire,"Drawn from the same events that later inspired Gladiator, the film charts the power-hungry greed and father-son betrayal that led to Rome's collapse at the bloody hands of the Barbarians.",drama
bedtime story," Benson, is a Casanova who despises women and invents all sorts of tricks to bed them and leave them. His favorite one is going through Germany posing as an American GI of Teunonic extraction. Whenever he spots a girl he likes, he takes a Polarod picture of her house, knocks on the door waving the photo and pretending to be on a pilgrimage to this very cottage his grandmother so vividly described. It is an infallible system for a hit-and-run seduction. Benson seems content with his game until...",comedy
les parapluies de cherbourg,"Jacques Demy's 1964 masterpiece is a pop-art opera, or, to borrow the director's own description, a film in song. This simple romantic tragedy begins in 1957. Guy Foucher, a 20-year-old French auto mechanic, has fallen in love with 17-year-old Geneviève Emery, an employee in her widowed mother's chic but financially embattled umbrella shop. On the evening before Guy is to leave for a two-year tour of combat in Algeria, he and Geneviève make love. She becomes pregnant and must choose between...",drama
alexis zorbas,An uptight English writer traveling to Crete on a matter of business finds his life changed forever when he meets the gregarious Alexis Zorba.,adventure
"kiss me, stupid","A jealous piano teacher Orville Spooner sends his beautiful wife, Zelda, away for the night while he tries to sell a song to a famous nightclub singer Dino, who is stranded in town",comedy
a shot in the dark,"As murder follows murder, beautiful Maria is the obvious suspect; bumbling Inspector Clouseau drives his boss mad by seeing her as plainly innocent.",comedy
suna no onna,"Jumpei Niki, a Tokyo based entomologist and educator, is in a poor seaside village collecting specimens of sand insects. As it is late in the day and as he has missed the last bus back to the city, some of the local villagers suggest that he spend the night there, they offering to find him a place to stay.",drama
guns at batasi,An anachronistic martinet RSM on a remote Colonial African army caught in a local coup d'etat must use his experience to defend those in his care.,drama
carry on cleo," Two Britons are captured and enslaved by invading Romans and taken to Rome. Hengist Pod creates useless inventions, while Horsa is a brave and cunning fighter. One of their first encounters in Rome leaves Hengist being mistaken for a fighter, and gets drafted into the Royal Guard to protect Cleopatra. Cleo doesn't want him around and plots for his sudden demise... Written by Simon N. McIntosh-Smith <[email protected]> ",comedy
father goose,"During WW2, a man persuaded to live on an isolated island and spot aircraft finds himself responsible for a teacher and several students, all female.",adventure
the last man on earth,"Dr. Robert Morgan (Vincent Price) is the only survivor of a devastating world-wide plague due to a mysterious immunity he acquired to the bacterium while working in Central America years ago. He is all alone now...or so it seems. As night falls, plague victims begin to leave their graves, part of a hellish undead army that''s thirsting for blood...his!",action
the masque of the red death,"Satan-worshiper Prince Prospero invites the local nobility to his castle for protection against an oncoming plague, the Red Death. He orders his guests to attend a masked ball and, amidst an atmosphere of debauchery and depravity, notices the entry of a hooded stranger dressed all in red. Believing the figure to be his master, Satan, Prospero is horrified at the revelation of his true identity.",horror
onibaba,"In medieval times, on a remote plain, a widow and her mother-in-law kill wandering samurai, put their bodies in a hole in the ground and sell their armour and valuables, until the daughter-in-law falls in love with one of their intended victims.",drama
seven days in may,US military leaders plot to overthrow the President because he supports a nuclear disarmament treaty and they fear a Soviet sneak attack.,drama
the train,A French railway inspector goes up against the Nazis in order to prevent a trainload of France's most treasured paintings from being stolen.,thriller
il deserto rosso,"Red Desert tells the story of Giuliana, a young married woman suffering a mental and emotional crisis and embarking tentatively on an affair.",drama
fail-safe,Because of a technical defect an American bomber team mistakenly orders the destruction of Moscow. The President of the United States has but little time to prevent an atomic catastrophe from occurring. Director Sidney Lumet gives an atmospheric vision of the future with a Cold War backdrop.,adventure
"""sherlock holmes"" the speckled band"," Helen Stoner needs the great man's help. She lives in a country mansion with her flamboyant and sinister guardian Grimesby Raylott, who has travelled abroad and brought home some souvenir livestock. Recently her sister Julia, about to be married and made by Raylott to sleep in a bed that was screwed to the floor, died in mysterious circumstances. Her final words referred to a ""speckled band."" Helen is fearful for her own safety and Holmes and Watson investigate. Written by ...",horror
3 nuts in search of a bolt," An out of work Method actor is hired by a male model, an ecdysiast, and a car salesman who live together to save money. They want the actor to listen to their problems and go see a psychiatrist so they can get counseling for cheap. The psychiatrist is intrigued by the split personalities indicated by the three separate sets of problems presented by the actor, and soon producers are climbing out of the woodwork trying to buy the rights to the film, while the actor is having trouble keeping his...",comedy
7 faces of dr. lao,"An old Chinese gentleman rides into the town of Abalone, Arizona and changes it forever, as the citizens see themselves reflected in the mirror of Lao's mysterious circus of mythical beasts.",fantasy
