title,plot,genre
the general,The General is a 1927 American silent film comedy from Buster Keaton. The film flopped when first released but is now regarded as the height of silent film comedy. The film is based on events from America’s civil war.,action
3 bad men," In 1876, an old man finds gold in the Sioux lands, provoking a gold and land rush from immigrants to Dakota. On the way to Custer, the lonely cowboy Dan O'Malley helps to fix the wheel of Mr. Carlton's wagon and flirts with his daughter Lee Carlton. Later, Lee and her father are attacked by horse thieves and Mr. Carlton is murdered; however, the outlaws ""Bull"" Stanley, Mike Costigan and ""Spade"" Allen save her from the criminals and head with her to the camp where...",romance
bardelys the magnificent,"Rafael Sabatini's story of the swashbuckling era and of Bardeleys, the handsome courtier who could win any woman he set his mind to...and was not above boasting about it to all who would listen.",drama
battling butler,"Alfred's father feels his son has grown up too comfortably and as a result has not become what a man should be. To remedy this predicament he sends his son Alfred off on a hunting trip. On the trip, in the midst of many follies brought on by his inexperience with the outdoors, he meets a young mountain girl and falls in love with her. Alfred's butler, who has accompanied him on the outing, is sent to arrange the marriage with the girl's father, who thinks Alfred is too weak to become a member...",comedy
behind the front,"During World War I a young man joins the army and winds up befriending another young recruit, not knowing that it's the same pickpocket who stole his watch. After finishing basic training, the two are sent to the front lines in France, where they wind up in trouble with the MPs, getting involved with some cute French girls and ""volunteering"" for a dangerous front-line mission, and their antics result in their endangering the armistice.",comedy
brown of harvard,"Tom Brown shows up at Harvard, confident and a bit arrogant. He becomes a rival of Bob McAndrew, not only in football and rowing crew, but also for the affections of Mary Abbott, a professor's daughter.",drama
don juan,"If there was one thing that Don Juan de Marana learned from his father Don Jose, it was that women gave you three things - life, disillusionment and death. In his father's case it was his wife, Donna Isobel, and Donna Elvira who supplied the latter. Don Juan settled in Rome after attending the University of Pisa. Rome was run by the tyrannical Borgia family consisting of Caesar, Lucrezia and the Count Donati. Juan has his way with and was pursued by many women, but it is the one that he could...",adventure
flesh and the devil,"Leo and Ulrich are life long friends. Home, on leave from their military training, Leo sees the beautiful Felicitas at the railroad station. Awed by her beauty, they meet again at the ball and quietly leave together. In her room, her husband, about whom she has neglected to inform Leo, comes in and challenges Leo to a duel. The duel is done, the Count is killed, and Felicitas is a widow. Leo, however, is 'requested' to serve 5 years in Africa and he tells Ulrich to watch over Felicitas while he...",drama
mannequin,"Mannequin is a 1926 American silent romance film produced by Famous Players-Lasky and distributed by Paramount Pictures. James Cruze directed and Alice Joyce, Warner Baxter, and Dolores Costello were the stars. The film is still extant.",romance
mantrap,"A sexy young manicurist living with her older backwoodsman husband in a small Canadian town finds herself attracted to a young, rich and famous divorce lawyer who comes to town on vacation.",comedy
mother of mine,"Gribiche, a young boy whose mother is a war widow, gets adopted by a rich woman. She wants to turn him into a perfect gentleman, but soon he feels unhappy.",drama
now you tell one,"The Liars Club is holding their contest to see who can tell the most unbelievable story, with a gold medallion waiting to be awarded to the winner. Disappointed with the other members' bland efforts, one member brings in Charley Bowers, who has an extraordinary tale to tell. Charley claims to have invented a magic potion that enables him to grow absolutely anything by a simple grafting process, and he proceeds to tell his story to the club.  -...",fantasy
poor mrs. jones,"Tired of her grueling and unglamorous day-to-day life as a rural housewife, Jane Jones takes a vacation to the city where she stays with her sister Hattie, and her ideals of the city are dispelled.",comedy
