title,plot,genre
Hook,"Peter Pan (Williams) has grown up to be a cut-throat merger and acquisitions lawyer, and is married to Wendy's granddaughter. Captain Hook (Hoffman) kidnaps his children, and Peter returns to Never Land with Tinkerbell (Roberts). With the help of her and the Lost Boys, he must remember how to be Peter Pan again in order to save his children by battling with Captain Hook once again.",Adventure
Terminator 2: Judgment Day,"In the year 2029, a computer called Skynet is fighting against a human resistance, after having nearly destroyed the rest of humanity in 1997. Skynet has found a way to send some of it's warriors, called Terminators, back in time. This is the story of the Terminator sent to kill the resistance leader in 1995, while he is still a child. The resistance sends a reprogrammed Terminator back to 1995 to protect the young man. The question is, can they survive against the new prototype liquid metal...",Action
 My Girl ,"Vada Sultenfuss is obsessed with death. Her mother is dead, and her father runs a funeral parlor. She is also in love with her English teacher, and joins a poetry class over the summer just to impress him. Thomas J., her best friend, is ""allergic to everything"", and sticks with Vada despite her hangups. When Vada's father hires Shelly, a makeup expert, in his funeral parlor, and begins to fall in love with her, Vada is outraged and does everything in her power to split them up.",Drama
Point Break,"In the coastal town of Los Angeles, a gang of bank robbers call themselves the ex-presidents. commit their crimes while wearing masks of ex-presidents Reagan, Carter, Nixon and Johnson. The F.B.I. believes that the members of the gang could be surfers and send young agent Johnny Utah undercover at the beach to mix with the surfers and gather information. Utah meets surfer Bodhi and gets drawn into the lifestyle of his new friend.",Action
Backdraft,A rookie firefighter tries to earn the respect of his older brother and other firefighters while taking part in an investigation of a string of arson/murders. This detailed look into the duties and private lives of firemen naturally features widespread pyrotechnics and special effects.,Action
 The Commitments ,"Jimmy Rabbitte, just a tick out of school, gets a brilliant idea: to put a soul band together in Barrytown, his slum home in north Dublin. First he needs musicians and singers: things slowly start to click when he finds three fine-voiced females virtually in his back yard, a lead singer (Deco) at a wedding, and, responding to his ad, an aging trumpet player, Joey ""The Lips"" Fagan.",Comedy
The Addams Family,For 25 years uncle Fester has been missing. An evil doctor finds out and introduces a fake Fester in an attempt to get the Adams Family's money. The youngest daughter has some doubts as to the sincerity of the new uncle Fester. The fake uncle adapts very well to the strange family. Can the doctor carry out her evil plans and take over the Adams Family's fortune?,Comedy
Robin Hood: Prince of Thieves,"Robin of Lockseley escapes from the Turks and arrives back to England where he learns that his father has been killed by the Sheriff of Nottingham.Robin vows to avenge his father's death and seeks help from his childhood friend, Marian. When she is unable to help him, he heads into Sherwood Forest and joins a band of exiled villagers. He leads this band against the evil that the Sheriff has wrought.",Action
 Cape Fear ,"Max Cady is a psychopath just released from prison for rape. He is out seeking revenge from his lawyer Sam Bowden who he believes deliberately held back important information about his case during the trial, which could have kept him out of jail. He sets off to terrorise Bowden, his wife and even goes after their 15 year old daughter.",Thriller
 Fried Green Tomatoes ,"Evelyn Couch is having trouble in her marriage, and no one seems to take her seriously. While in a nursing home visiting relatives, she meets Ninny Threadgoode, an outgoing old woman, who tells her the story of Idgie Threadgoode, a young woman in 1920's Alabama. Through Idgie's inspiring life, Evelyn learns to be more assertive and builds a lasting friendship of her own with Ninny.",Drama
 The Man in the Moon ,"After handsome 17-year-old Court Foster moves back into the long vacant Foster ranch, 14-year-old Dani Trant falls in love for the first time, while her older sister Maureen discovers true love.",Drama
Thelma & Louise,"Louise is working in a fast food restaurant as a waitress and has some problems with her friend Jimmy, who, as a musician, is always on the road. Thelma is married to Darryl who likes his wife to stay quiet in the kitchen so that he can watch football on TV. One day they decide to break out of their normal life and jump in the car and hit the road. Their journey, however, turns into a flight when Louise kills a man who threatens to rape Thelma. They decide to go to Mexico, but soon they are...",Adventure
 Sleeping with the Enemy ,"Laura and Martin have been married for four years. They seem to be the perfect, happiest and most successful couple. The reality of their house- hold, however, is very different. Martin is an abusive and brutally obsessed husband. Laura is living her life in constant fear and waits for a chance to escape. She finally stages her own death, and flees to a new town and new identity. But when Martin finds out that his wife is not dead he will stop at nothing to find and kill her.",Drama
Bill and Ted's Bogus Journey,"For many years now, at Bill and Ted University of the future, the people of the world have been excellent to each other. But fed-up with Bill and Ted's peaceful world and even more fed up with heavy metal, Chuck De Nomolos decides to do something about it. De Nomolos creates cyborg versions of Bill and Ted, who travel back to 1990 with orders to kill the human versions of Bill and Ted, win the Battle of the Bands, and pave the way for De Nomolos to take over the future. In 1990, Bill and Ted...",Adventure
The Rocketeer,"Straight from the pages of a pulp comic from a past era, the Rocketeer recreates 1930's Hollywood, complete with gangsters, Nazi spies, and the growth of the Age of Aviation. Young pilot Cliff Secord stumbles on a top secret rocket-pack and with the help of his mechanic/mentor, Peevee, he attempts to save his girl and stop the Nazis as The Rocketeer.",Action
 Return to the Blue Lagoon ,"Although the title rather suggests a sequel to The Blue Lagoon, this is rather a variation on the same theme--neither Christopher Atkins nor Brooke Shields returns--their characters are dead, but a new generation is shipwrecked again on the desert island. This time the two kids, Richard and Lilli, have no experience in the civilized world at all, and have to discover everything on their own, but love proves an indomitable instinct, even given a 'choice' of one inhabitant per gender.",Adventure
 Career Opportunities ,"Josie, the daughter of the town's wealthiest businessman, faces problems at home and wishes to leave home, but is disorientated. Her decision is finalized after she falls asleep in a Target dressing room, and awakes to find that she is locked in the store overnight with the janitor, Jim, the town ""no hoper"" and liar. A decision to go to L.A. is established, but first they must get through the night. A relationship develops, only to be interrupted by a break in by two petty criminals.",Comedy
 Paprika ,"A young country girl comes to town and works in a brothel in order to help her fiance get the money to start his own business. ""Paprika"" is the name given to her by the madam.",Drama
 Father of the Bride ,"George Banks (Steve Martin) is an ordinary, middle-class man whose 21 year-old daughter Annie (Kimberly Williams) has decided to marry a man (George Newbern) from an upper-class family, but George can't think of what life would be like without his daughter. He becomes slightly insane, but his wife (Diane Keaton) tries to make him happy for Annie, but when the wedding takes place at their home and a foreign wedding planner (Martin Short) takes over the ceremony, George must try to handle the...",Comedy
 My Own Private Idaho ,"My Own Private Idaho is a masterpiece from independent film maker Gus Van Sant, who in this work seamlessly illustrates a series of cultural phenomena. River Phoenix and Keanu Reeves star as street workers in the film that became a cult classic and an icon in Gay Cinema.",Drama
 Child's Play 3 ,"It's been eight years since the events in the second film, we now see that Andy is a teenager who has been enrolled in a military school. Play Pals Toy Company decides to re-release its Good Guys line, feeling that after all this time, the bad publicity has died down. As they re-used old materials, the spirit of Charles Lee Ray once again comes to life. In his search for Andy, Chucky falls into the hands of a younger boy, and he realizes that it may be easier to transfer his soul into this...",Horror
JFK,"Part fact and part opinion, mainly of Jim Garrison and director Oliver Stone, as to the events surrounding the proposed conspiracy of the assassination of President John Fitzgerald Kennedy on November 22, 1963 in Dallas, Texas. New Orleans District Attorney Jim Garrison began a probe into the actions of the F.B.I. and other officials of whom he suspected where covering up information that could lead to evidence of multiple shooters. The motive is believed to be to escalate the United States...",Drama
 Naked Lunch ,"After developing an addiction to the substance he uses to kill bugs, an exterminator accidentally murders his wife and becomes involved in a secret government plot being orchestrated by giant bugs in an Islamic port town in Africa.",Drama
Star Trek VI: The Undiscovered Country,"After an explosion on their moon, the Klingons have an estimated 50 years before their ozone layer is completely depleted, and they all die. They have only 1 choice - to join the Federation, which will mean an end to 70 years of wars. Admiral James T. Kirk and crew are called upon to help in the negotiations because of their ""experience"" of the Klingon race. Peace talks don't quite go to plan, and eventually Kirk and McCoy are tried and convicted of assassination, and sent to Rura Penthe, a...",Action
 Don't Tell Mom the Babysitter's Dead ,"Five kids are left home when their mother leaves town on a three-month vacation, only to have their geriatric babysitter die of a heart attack, leading to the eldest teen, Sue Ellen, to scam her way into taking a job at a hip Los Angeles fashion company to feed and support her needy siblings.",Comedy
 The Last Boy Scout ,"Joe Hallenbeck (Willis) is a burned-out detective. Jimmy Dix (Wayans) is an ex-LA Stallions player. Hallenbeck was hired to protect a stripper named Cory. Dix is Cory's girlfriend. When Cory is executed during a drive-by shooting, both Hallenbeck and Dix try to get to the bottom of the case.",Action
What About Bob?,"A new patient appears at a psychotherapist's door. He has every possible insecurity in the world. The amazingly successful shrink gives him a copy of his new book and goes off on vacation. Bob, the patient, discovers where the doctor has gone and appears at the vacation site, forever changing the shrink's family relationships.",Comedy
Barton Fink,"New York intellectual playwright Barton Fink comes to Hollywood to work as a screenwriter. Staying in the eerie Hotel Earle, Barton develops severe writer's block when his studio boss orders the serious-minded Barton to write a low budget wrestling movie. His neighbor, jovial insurance salesman Charlie Meadows, tries to help, but Barton continues to struggle as a bizarre sequence of events distracts him even further from his task.",Drama
 Nothing But Trouble ,"Stock market millionaire Chris Thorne and investment lawyer Diane Lightson are headed to Atlantic City when they take the wrong exit off the New Jersey Turnpike. A local cop stops them for speeding in a curious town, where they're brought before 106-year-old Judge Alvin Valkenheiser. But the old man's punishment turns out to be as bizarre as he is.",Adventure
 Da hong deng long gao gao gua ,"China in the 1920's. After her father's death, 19 year old Songlian is forced to marry the much older lord of a powerful family. With three wives already, each living in a separate house within the great castle, there is fierce competition for his attention and the privileges that are gained. This competition gets out of hand...",Drama
