title,plot,genre
Lawrence of Arabia,"An inordinately complex man who has been labeled everything from hero, to charlatan, to sadist, Thomas Edward Lawrence blazed his way to glory in the Arabian desert, then sought anonymity as a common soldier under an assumed name. The story opens with the death of Lawrence in a motorcycle accident in London at the age of 47, then flashbacks to recount his adventures: as a young intelligence officer in Cairo in 1916, he is given leave to investigate the progress of the Arab revolt against the...",Adventure
Dr. No,"When Strangways, the British SIS Station Chief in Jamaica goes missing, MI6 send James Bond - Agent 007 to investigate. His investigation leads him to the mysterious Crab Key; the secret base of Dr No who he suspects is trying to sabotage the American space program using a radio beam. With the assistance of local fisherman Quarrel, who had been helping Strangways, Bond sneaks onto Crab Key where he meets the beautiful Honey Ryder. Can the three of them defeat an army of henchmen and a ""fire...",Action
 The Brain That Wouldn't Die ,"Unfortunately, she's only a head, but you know what they say, sometimes you have to do things just to get ""a head"" in this world (har, har). This story finds a young doctor climbing back to his wrecked car only to discover his fiance has been decapitated. Scooping up her noggin like a linebacker and running off, Crow blurts out ""He's at the 20. He's at the 10. No one will catch him."" Then later in this flick, as our leading lady floats in a tray of magical life-sustaining liquid, Tom Servo...",Horror
 The Longest Day ,"Tells the story of the D-Day invasion of Normandy in WWII. There are dozens of characters, some seen only briefly, who together weave the story of five separate invasion points that made up the operation.",Action
 The Man Who Shot Liberty Valance ,"A senator, who became famous for killing a notorious outlaw, returns for the funeral of an old friend and tells the truth about his deed.",Drama
What Ever Happened to Baby Jane?,"In a decaying Hollywood mansion, Jane Hudson, a former child star, and her sister Blanche, a movie queen forced into retirement after a crippling accident, live in virtual isolation.",Drama
 Ivanovo detstvo ,"Twelve-year-old Ivan, after his childhood was yanked away by German soldiers, commits himself to the Soviet cause, infiltrating enemy territory to gather strategic information. Stubborn and weary, he no longer bears any traits of the lively youth he once was.",Drama
 Seppuku ,"Peace in 17th-century Japan causes the Shogunate's breakup of warrior clans, throwing thousands of samurai out of work and into poverty. An honorable end to such fate under the samurai code is ritual suicide, or seppuku (self-inflicted disembowelment). An elder warrior seeks admittance to the house of a feudal lord to commit the act. There, he learns of the fate of his son-in-law.",Drama
 Cléo de 5 à 7 ,"Cléo is a pop singer who wanders around Paris while she awaits her biopsy results in fear she may have cancer. As Cléo readies herself to meet with her doctor at 7 o'clock, she meets with several friends and strangers while trying to grapple with mortality. Sensing indifference from those nearest to her, she finds herself questioning the doll-like image people have of her and is overcome by a feeling of solitude and helplessness. She finally finds some comfort in the company of stranger she...",Comedy
 Cape Fear ,"Sam Bowden, witnesses a rape committed by Max Cady and testifies against him. When released after 8 years in prison, Cady stalks Bowden and his family but is always clever enough not to violate the law. Bowden enlists the aid of a local police chief, a private detective and then hires thugs to harass Cady all to no avail. The film climaxes pitting Bowden and his family against Cady.",Thriller
 A Kind of Loving ,Victor 'Vic' Brown (Bates) is a draftsman in a Lancashire factory who sleeps with a typist called Ingrid Rothwell (Ritchie) who also works there. She falls for him but he is less enamoured of her.,Drama
