title,plot,genre
spider-man,"A rather odd thing has just just occurred in the life of nerdy high school student Peter Parker; after being bitten by a radioactive spider, his body chemistry is mutagenically altered in that he can scale walls and ceilings, and he develops a ""spider-sense"" that warns him of approaching danger. Adopting the name ""Spider-Man"", Peter first uses his newfound powers to make money, but after his uncle is murdered at the hands of a criminal Peter failed to stop, he swears to use his powers to fight...",action
harry potter and the chamber of secrets,"Harry is banished to his room while Uncle Vernon hosts important clients. A house-elf named Dobby shows up in Harry's room with the warning that terrible danger awaits at Hogwarts and not to return there. Harry refuses to believe him, but is locked in his room. He is rescued, however, by the Weasley brothers in a flying car. So Harry returns to Hogwarts despite Dobby's warning. Sure enough, Harry begins hearing an evil voice that nobody else seems to hear. The dreaded Chamber of Secrets is open...",adventure
the lord of the rings: the two towers,"At the end of part one, the Fellowship was forced to divide. ""The Lord of the Rings: The Two Towers"" traces the journey of Frodo (Wood) and Sam (Astin) as they venture deeper into the land of the enemy - with the mysterious Gollum (Serkis) serving as their guide - while their companions in the Fellowship, Aragorn (Mortensen), Legolas (Bloom) and Gimli (Davies), struggle to rescue the captured Hobbits Merry (Monaghan) and Pippin (Boyd). Their destinies now lie at Two Towers - Orthanc Tower in...",action
men in black ii,"Agent Jay (Will Smith), having grown lonely and angst-ridden as an MiB, uncovers a diabolical plot masterminded by Serleena (Lara Flynn Boyle), an evil Kylothian monster that disguises itself as a sexy lingerie model, when he's called to a pizza joint to investigate alien activity. While there he meets Laura, a witness, and sparks fly between them. After some flirting, he decides not to neuralize her. When Serleena takes the entire MiB building hostage, there is only one person left for Jay to...",action
scooby doo,"The Mystery Inc. gang have gone their separate ways and have been apart for two years, until they each receive an invitation to Spooky Island. Not knowing that the others have also been invited, they show up and discover an amusement park that affects young visitors in very strange ways. Fred, Daphne, Velma, Shaggy and Scooby soon realize that they cannot solve this mystery without help from each other.",adventure
austin powers in goldmember,"Dr. Evil and Mini-Me have somehow escaped from a maximum security prison and the duo team up with Goldmember. Together they formulate a plan for world domination. And this particular scheme requires a large amount of time-travel, and kidnapping Austin Powers' father, England's master spy, Nigel Powers. As Austin chases Dr. Evil, Mini-Me and Goldmember through time, he stops in 1975 to ""connect"" with an old girlfriend, detective Foxy Cleopatra, and requests her help to track the villains and...",action
the count of monte cristo,"A young sailor, Edmond Dantes (Jim Caviezel), falsely accused of treason, is imprisoned without trail on an island fortress. He orchestrates an elaborate escape and sets out to discover treasure on the isle of Monte Cristo, all the while swearing revenge on his captors.",action
star wars: episode ii - attack of the clones,"Ten years later, Anakin Skywalker shares a forbidden romance with Padmé, while Obi-Wan investigates an assassination attempt on the Princess and discovers a secret clone army crafted for the Jedi.",action
chicago,"Roxie Hart is a married chorus girl with hopes of being a headliner in Vaudeville. Velma Kelly is a former headliner. What do these two have in common? They both are murderesses. Roxie killed her lover when he walked out on her, and Velma killed her husband and sister, who were having an affair. Chicago's newspapers love the nitty-gritty and Velma is at the top of the headlines. But then Roxie comes along and Velma is old news. They find themselves competing for not only the press' attention,...",comedy
reign of fire,"In present-day London, twelve-year-old Quinn watches as his mother, a construction engineer, inadvertently wakes an enormous fire-breathing beast from its century-long slumber. Twenty years later, much of the world has been scarred by the beast and its offspring. As a fire chief, Quinn (Christian Bales) is responsable for warding off the beasts and keeping a community alive as they eke out a meager existence. Into their midst come a hotshot American, Van Zan (Matthew McConaughey), who says he...",action
