title,plot,genre
King Kong,An expedition exploring a remote island capture a gigantic ape and bring him back to New York for exhibition. A beautiful actress who accompanies them is menaced when the monster's love for her causes him to break out.,Adventure
 Duck Soup ,Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.,Comedy
The Invisible Man,"A scientist turns himself invisible. However, the formula slowly drives him insane, causing him to terrorize the countryside as an invisible killer.",Drama
 Alice in Wonderland ," On a boring winter afternoon, Alice dreams, that she's visiting the land behind the mirror. This turns out to be a surrealistic nightmare, with all sorts of strange things happening to her, like changing her size or playing croquet with flamingos. Written by Stephan Eichenberg <[email protected]> ",Adventure
 Ann Vickers ,"1933 drama with Irene Dunn. After a love affair ending in an abortion, a young prison reformer submerges herself in her work. But then she falls for a controversial and married judge, so scandal looms again. Very controversial film at the time.",Drama
 Apart From You ,"For Apart from You, Mikio Naruse turned his camera on the lives of working women, which he would continue to do throughout his long career. In this gently devastating drama, a critical breakthrough for the director, he contrasts the life of an aging geisha, whose angry teenage son is ashamed of her profession, with that of her youthful counterpart, a lovely young girl resentful of her family for forcing her into a life of ignominy.",Drama
 Baby Face ,"A beautiful schemer sleeps her way to the top of a banking empire. A young woman uses her body and her sexuality to help her climb the social ladder, but soon begins to wonder if her new status will ever bring her happiness.",Drama
 Before Dawn ,"Joe Valerie stashed a million dollars in gold from a robbery 15 years earlier. Now that he lay dying a painful death, he trades the location of the money to Dr. Cornelius for a shot to end his suffering. When Mrs. Marble reads about the death of Joe, she wants to spend the money, but the ghost of Joe causes her to fall down the stairs ending her life. When the police show up, they are not sure if it is murder of not, so they enlist Dr. Cornelius and clairvoyant Patricia to help solve the case....",Drama
 Blood Money ,"The title refers to the business of affable, ambitious bail bondsman (and politically-connected grifter) Bill Bailey (George Bancroft), who, in the course of his work, crosses paths with every kind of offender there is, from first-time defendants to career criminals.",Drama
Bombshell,"From Wikipedia, the free encyclopedia.Bombshell (1933) is a Pre-Code film directed by Victor Fleming and starring Jean Harlow, Lee Tracy, Frank Morgan, C. Aubrey Smith, Mary Forbes and Franchot Tone.Description above from the Wikipedia article Bombshell (film), licensed under CC-BY-SA, full list of contributors on Wikipedia.",Drama
 By Appointment Only ," When a mother dies of heart failure in a doctor's office, the physician--feeling somewhat guilty because he couldn't save her--takes an interest in the woman's young daughter, and makes her his ward, but his fiancé doesn't particularly like it. After he returns from a three-year engagement in Europe, the doctor discovers that his ward is now a beautiful, full-grown woman, and finds himself falling for her--even though she's engaged to his fiancé's...",Drama
 Cavalcade ,"A cavalcade of English life from New Year's Eve 1899 until 1933 seen through the eyes of well-to-do Londoners Jane and Robert Marryot. Amongst events touching their family are the Boer War, the death of Queen Victoria, the sinking of the Titanic and the Great War.",Drama
 Central Airport ," Commercial pilot Jim Blair is blackballed after his plane crashes in a thunderstorm. Depressed, he begins working as a bank teller until he meets beautiful Jill Collins, a barnstorming parachutist working with her daredevil pilot brother. Jim's immediately attracted, and when her brother's killed in a freak crash, he reveals his past to her and volunteers to replace her dead sibling in their air carnival act. As they tour throughout the Southwest, their affection turns physically...",Drama
 Christopher Strong ,"Katharine Hepburn's second film..based on a novel by Gilbert Frankau. CHRISTOPHER STRONG is about the unlikely romance between a stuffy British politician, and an adventurous girl young enough to be his daughter. Both parties are dragged to a High Society 'Treasure Hunt' as examples of ""something impossible to find""...ie.a faithful husband, and a young girl who has never had a love affair. How the romance comes to be, and how everything blows up in their faces, make for an interesting pre-code...",Drama
 Cocktail Hour ," Cynthia Warren, independently wealthy through her ability as an illustrator and poster artist, rebels against the premise that every woman is destined for matrimony and motherhood, and decides she has as much right as a man to play around sans benefit of marriage. So, leaving behind steady-but-dull Randolph Morgan (who seems to be the primary buyer of her 'art' and income,) she heads for Paris. The New York harbor is barely out of sight before she falls into the arms of a slick from...",Drama
 College coach ," A ruthless coach (Pat O'Brien) creates turmoil at a college by hiring players (Lyle Talbot) and alienating students (Dick Powell). Along the way, the coach loses his wife (Ann Dvorak) to a grandstanding player. Inside look at college football of the 1930s replete with fake grades, non-student players, and the importance of football to a college's reputation. Written by Ed Lorusso ",Drama
 Daring Daughters ,"A savvy city girl tries to protect her naive sister, who has just moved from the country, from the temptations--and men--of big-city life.",Drama
 Design for Living ,"Two Americans sharing a flat in Paris, playwright Tom Chambers and painter George Curtis, fall for free-spirited Gilda Farrell. When she can't make up her mind which one of them she prefers, she proposes a ""gentleman's agreement"": She will move in with them as a friend and critic of their work, but they will never have sex. But when Tom goes to London to supervise a production of one of his plays, leaving Gilda alone with George, how long will their gentleman's agreement last?",Comedy
 Dinner at Eight ,"Social climbing Millicent and Oliver Jordan throw a dinner for a bunch of New York society types, each of whom has much to reveal.",Comedy
 Doctor Bull ,"In this engaging adaptation of James Gould Cozzen's novel The Last Adam, film icon Will Rogers portrays Dr. George Bull, a compassionate, highly regarded small-town physician who often prescribes a healthy dose of common sense! But when Bull begins dating a widow (Vera Allen), the local gossips misconstrue the story. To make matters worse, Bull's plainspoken manner earns him an enemy in the wealthy owner of a nearby construction camp. But once it's learned that the camp has caused illness by...",Comedy
 Elmer the Great ,"Elmer does not want to leave Gentryville, because Nellie is the one that he loves. Even when Mr. Wade of the Chicago Cubs comes to get him, it is only because Nellie spurns him that he goes. As always, Elmer is the king of batters and he wins game after game. When Nellie comes to see Elmer in Chicago, she sees him kissing Evelyn and she wants nothing to do with him anymore. So Healy takes him to a gambling club, where Elmer does not know that the chips are money. He finds that he owes the...",Comedy
