title,plot,genre
 Freaks ,"A carnival barker displays a sideshow freak called the Feathered Hen and tells her story. Cleopatra, a trapeze artist with the carnival, is adored by a midget named Hans. Frieda, Hans' fiancée (also a midget), warns Hans that Cleopatra is only interested in him so that he will give her money. Cleopatra has an affair with Hercules, and when Frieda lets it slip that Hans is to come into an inheritance, Cleopatra and Hercules plan to get the money be having Cleopatra marry Hans. During the...",Drama
The Mummy,"An Ancient Egyptian priest called Imhotep is revived when an archaeological expedition finds Imhotep's mummy and one of the archaeologists accidentally reads an ancient life-giving spell. Imhotep escapes from the archaeologists and prowls Cairo seeking the reincarnation of the soul of his ancient lover, Princess Ankh-es-en-amon.",Drama
 Tarzan the Ape Man ,"James Parker and Harry Holt are on an expedition in Africa in search of the elephant burial grounds that will provide enough ivory to make them rich. Parker's beautiful daughter Jane arrives unexpectedly to join them. Jane is terrified when Tarzan and his ape friends first abduct her, but when she returns to her father's expedition she has second thoughts about leaving Tarzan.",Action
 The Sign of the Cross ," After burning Rome, Emperor Nero decides to blame the Christians, and issues the edict that they are all to be caught and sent to the arena. Two old Christians are caught, and about to be hauled off, when Marcus, the highest military official in Rome, comes upon them. When he sees their stepdaughter Mercia, he instantly falls in love with her and frees them. Marcus pursues Mercia, which gets him into trouble with Emperor (for being easy on Christians) and with the Empress, who loves him and is...",Drama
 Dr. Jekyll and Mr. Hyde ,"Based on the story by Robert Louis Stevenson, Dr. Henry Jekyll believes that there are two distinct sides to men - a good and an evil side. He believes that by separating the two man can become liberated. He succeeds in his experiments with chemicals to accomplish this and transforms into Hyde to commit horrendous crimes. When he discontinues use of the drug it is already too late...",Drama
 The Old Dark House ,"Seeking shelter from a pounding rainstorm in a remote region of Wales, several travellers are admitted to a gloomy, foreboding mansion belonging to the extremely strange Femm family. Trying to make the best of it, the guests must deal with their sepulchral host, Horace Femm and his obsessive, malevolent sister Rebecca. Things get worse as the brutish manservant Morgan gets drunk and runs amok...",Comedy
 A Farewell to Arms ,"A ravishing adaptation of Ernest Hemingway's legendary novel, A FAREWELL TO ARMS stars Gary Cooper (High Noon) as Lt. Frederic Henry, a young ambulance driver for the Italian army in WWI, more interested in chasing women than the enemy. When seeking cover during an air raid, he encounters Nurse Catherine Barkley (a radiant Helen Hayes), and the world shifts under his feet. They fall in love, but the war keeps wrenching them apart. These painful separations force Frederic to choose between...",Romance
 A Successful Calamity ,"Henry Wilton is an elderly millionaire saddled with his selfish young second wife Emmy 'Sweetie' Wilton and a pair of spoiled grown children (Peggy and Eddie). To test his family's mettle, Henry pretends to have gone broke. Just as he suspected they would, his children rally to their father's side and change their ways: Peggy forsakes the fortune hunter George Struthers for the nice young man she's really in love with, the polo coach Larry Rivers; while Eddie applies for a demanding job and...",Comedy
 Bird of Paradise ," A young man falls overboard and is saved by a beautiful Polynesian girl. They fall in love, but their idyll is smashed when the local volcano begins to erupt. The man discovers that the local custom is to sacrifice a young woman to the volcanic gods. They try to escape but realize that ""east is east and west is west, and never the twain shall meet."" Written by Ed Lorusso ",Adventure
 Blonde Venus ,"American chemist Ned Faraday marries a German entertainer and starts a family. However, he becomes poisoned with Radium and needs an expensive treatment in Germany to have any chance at being cured. Wife Helen returns to night club work to attempt to raise the money and becomes popular as the Blonde Venus.",Drama
